Mes;IPCA - Variacao mensal (%)
junho 2004;0.71
julho 2004;0.91
agosto 2004;0.69
setembro 2004;0.33
outubro 2004;0.44
novembro 2004;0.69
dezembro 2004;0.86
janeiro 2005;0.58
fevereiro 2005;0.59
março 2005;0.61
abril 2005;0.87
maio 2005;0.49
junho 2005;-0.02
julho 2005;0.25
agosto 2005;0.17
setembro 2005;0.35
outubro 2005;0.75
novembro 2005;0.55
dezembro 2005;0.36
janeiro 2006;0.59
fevereiro 2006;0.41
março 2006;0.43
abril 2006;0.21
maio 2006;0.10
junho 2006;-0.21
julho 2006;0.19
agosto 2006;0.05
setembro 2006;0.21
outubro 2006;0.33
novembro 2006;0.31
dezembro 2006;0.48
janeiro 2007;0.44
fevereiro 2007;0.44
março 2007;0.37
abril 2007;0.25
maio 2007;0.28
junho 2007;0.28
julho 2007;0.24
agosto 2007;0.47
setembro 2007;0.18
outubro 2007;0.30
novembro 2007;0.38
dezembro 2007;0.74
janeiro 2008;0.54
fevereiro 2008;0.49
março 2008;0.48
abril 2008;0.55
maio 2008;0.79
junho 2008;0.74
julho 2008;0.53
agosto 2008;0.28
setembro 2008;0.26
outubro 2008;0.45
novembro 2008;0.36
dezembro 2008;0.28
janeiro 2009;0.48
fevereiro 2009;0.55
março 2009;0.20
abril 2009;0.48
maio 2009;0.47
junho 2009;0.36
julho 2009;0.24
agosto 2009;0.15
setembro 2009;0.24
outubro 2009;0.28
novembro 2009;0.41
dezembro 2009;0.37
janeiro 2010;0.75
fevereiro 2010;0.78
março 2010;0.52
abril 2010;0.57
maio 2010;0.43
junho 2010;0.00
julho 2010;0.01
agosto 2010;0.04
setembro 2010;0.45
outubro 2010;0.75
novembro 2010;0.83
dezembro 2010;0.63
janeiro 2011;0.83
fevereiro 2011;0.80
março 2011;0.79
abril 2011;0.77
maio 2011;0.47
junho 2011;0.15
julho 2011;0.16
agosto 2011;0.37
setembro 2011;0.53
outubro 2011;0.43
novembro 2011;0.52
dezembro 2011;0.50
janeiro 2012;0.56
fevereiro 2012;0.45
março 2012;0.21
abril 2012;0.64
maio 2012;0.36
junho 2012;0.08
julho 2012;0.43
agosto 2012;0.41
setembro 2012;0.57
outubro 2012;0.59
novembro 2012;0.60
dezembro 2012;0.79
janeiro 2013;0.86
fevereiro 2013;0.60
março 2013;0.47
abril 2013;0.55
maio 2013;0.37
junho 2013;0.26
julho 2013;0.03
agosto 2013;0.24
setembro 2013;0.35
outubro 2013;0.57
novembro 2013;0.54
dezembro 2013;0.92
janeiro 2014;0.55
fevereiro 2014;0.69
março 2014;0.92
abril 2014;0.67
maio 2014;0.46
junho 2014;0.40
julho 2014;0.01
agosto 2014;0.25
setembro 2014;0.57
outubro 2014;0.42
novembro 2014;0.51
dezembro 2014;0.78
janeiro 2015;1.24
fevereiro 2015;1.22
março 2015;1.32
abril 2015;0.71
maio 2015;0.74
junho 2015;0.79
julho 2015;0.62
agosto 2015;0.22
setembro 2015;0.54
outubro 2015;0.82
novembro 2015;1.01
dezembro 2015;0.96
janeiro 2016;1.27
fevereiro 2016;0.90
março 2016;0.43
abril 2016;0.61
maio 2016;0.78
junho 2016;0.35
julho 2016;0.52
agosto 2016;0.44
setembro 2016;0.08
outubro 2016;0.26
novembro 2016;0.18
dezembro 2016;0.30
janeiro 2017;0.38
fevereiro 2017;0.33
março 2017;0.25
abril 2017;0.14
maio 2017;0.31
junho 2017;-0.23
julho 2017;0.24
agosto 2017;0.19
setembro 2017;0.16
outubro 2017;0.42
novembro 2017;0.28
dezembro 2017;0.44
janeiro 2018;0.29
fevereiro 2018;0.32
março 2018;0.09
abril 2018;0.22
maio 2018;0.40
junho 2018;1.26
julho 2018;0.33
agosto 2018;-0.09
setembro 2018;0.48
outubro 2018;0.45
novembro 2018;-0.21
dezembro 2018;0.15
janeiro 2019;0.32
fevereiro 2019;0.43
março 2019;0.75
abril 2019;0.57
maio 2019;0.13
junho 2019;0.01
julho 2019;0.19
agosto 2019;0.11
setembro 2019;-0.04
outubro 2019;0.10
novembro 2019;0.51
dezembro 2019;1.15
janeiro 2020;0.21
fevereiro 2020;0.25
março 2020;0.07
abril 2020;-0.31
maio 2020;-0.38
junho 2020;0.26
julho 2020;0.36
agosto 2020;0.24
setembro 2020;0.64
outubro 2020;0.86
novembro 2020;0.89
dezembro 2020;1.35
janeiro 2021;0.25
